Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Sensible Soccer Skills,3,183,0,4+,Games,Strategy,20264890,2010
Bubble Explode - Blast Shooter,3.5,51383,0,4+,Games,Puzzle,118840320,2010
Collider\xae,4,1250,0.99,4+,Games,Entertainment,30252032,2010
Nuclear Defence HD,1.5,46,0.99,4+,Games,Action,42488832,2010
PocketM HD -  \u0e2b\u0e21\u0e32\u0e01\u0e23\u0e38\u0e01\u0e44\u0e17\u0e22,3.5,38,0,4+,Games,Strategy,10133504,2010
Oubliette,3,136,0,9+,Games,Role,61472768,2010
000XXX,NA,NA,2.99,4+,Games,Strategy,11020288,2010
Zombie Dice,4,2091,0,9+,Games,Entertainment,35420160,2010
My Kingdom for the Princess HD,4.5,676,4.99,4+,Games,Simulation,121187328,2010
Aqueduct,4.5,1312,2.99,4+,Games,Entertainment,63946752,2010
Destroy9 Limit,3.5,380,0,4+,Games,Action,37152386,2010
Dice Match,4,2205,0,4+,Games,Strategy,34355200,2010
Lux USA - American Civil War,3,1900,0,9+,Games,Entertainment,39472128,2010
Hero Wars : Lite,4,203,0,4+,Games,Strategy,15966508,2010
\u25bbCHESS,4.5,22149,0,4+,Games,Strategy,112579584,2010
Arimaa Trainer,4,13,0.99,4+,Games,Strategy,10514432,2010
Magic Alchemist Classic,4,38,0,4+,Games,Puzzle,128826368,2010
Destroy9 - Alien Free,3.5,217,0,4+,Games,Strategy,13305796,2010
Domino for iPhone,4,997,3.99,4+,Games,Strategy,38358016,2010
Train Conductor 2: USA,4,4424,2.99,4+,Games,Entertainment,30310400,2010
My Kingdom for the Princess HD Lite,4,2171,0,4+,Games,Strategy,71461888,2010
Tic Tacky To,2.5,55,0,4+,Games,Board,925334,2010
Peppers Lite The  Game,3,914,0,4+,Games,Strategy,14018005,2010
"""Helsing's Fire""",4,1460,0.99,4+,Games,Strategy,26494976,2010
Bubble Explode Pro,4.5,1249,0.99,4+,Games,Entertainment,93254656,2010
Conquist Lite,4,861,0,4+,Games,Strategy,5682435,2010
Blocks Mania,3.5,3293,0,4+,Games,Strategy,16161543,2010
Taipan! Mobile,3,188,0,12+,Games,Strategy,3125248,2010
Morocco HD,4.5,10,0.99,4+,Games,Board,51822592,2010
Robo Logic 2 HD - Lite,3,361,0,4+,Games,Puzzle,15421440,2010
